steming_data,Score,Sentiment
ramai nyaman aman asri,11,Positif
laut manusia tumpah tanggal april alun wonosobo umur umur tau macet parah cari parkir susah over bingung nikmat,0,Netral
luas awat,8,Positif
sejuk indah pandang warga ramah ramah,14,Positif
istirahat selesai urus pajak kendara samsat lokasi dekat alun alun,-2,Negatif
rekreasi nyaman,4,Positif
sejuk adem ayem segar cocok quality time orang sayang keluarga istirahat dieng taman spot foto tarik keren,24,Positif
keren festival balon udara,-1,Negatif
tempat asyik habis malam minggu area main ramai banget,5,Positif
cappadocia ya jawa,0,Netral
keren keren,6,Positif
enak ya,5,Positif
bakso keliling,0,Netral
ramai jajan,3,Positif
kuliner tradisional mie ongklok sate kelinci,-5,Negatif
acara pasca lebaran tunggu masyarakat wonosobo,1,Positif
bilang wonosobo sempetin mampir alunalunnya fasilitas rekreasional asri masyarakat ramah cocok olahraga jogging cari makan dar jalan lepas,13,Positif
dar saran ojek pengkol situ oknum marah marah gara gara bayar transfer posisi situ atm ngambil duit pilih pilih,-19,Negatif
cocok main keluarga,11,Positif
beli makan coba langsung borong,10,Positif
alun alun rapi asri dagang kaki suka parkir kayak gbk motor wow wonosobo tengah jakarta,10,Positif
lebaran alun alun wonosobo,0,Netral
iseng pengin main pas keren banget alun alun ngadem,6,Positif
bagunan masjid bagus modern toilet bersih awat rekomended banget nih,16,Positif
asri nyaman,8,Positif
lari baik,1,Positif
lumayan anak,1,Positif
pusat hibur warga wonosobo,3,Positif
aneka kuliner khas wonosobo sedia disinitertata bersih,12,Positif
makan main,4,Positif
santa gembira acara giat masyarakat gelar penuh sukacita,9,Positif
suasana sejuk ngangenin,4,Positif
alun alun kota cocok olahraga ya,3,Positif
pandang sindoro sumbing alun alun,-3,Negatif
nyaman bersih indah,10,Positif
tempat aman asri sejuk,1,Positif
mantap dingin,9,Positif
ramai bersih,6,Positif
alun alun tata kota nyaman,6,Positif
recommended jalan pagi siang dikit ramai pedagangtapi senang sih makan enak suasana pagi syahdu lihat gunung sumbing sindoro,16,Positif
penuh kenang,3,Positif
duka,4,Positif
alun alun wonosobo asri damai sejahtera,4,Positif
bersih enak nongkrong bawa keluarga main anak anak sewa mobil mobil motor listrik,18,Positif
ya tempat adem,-1,Negatif
bagus luas tengahtengah kota wonosobo sejuk,4,Positif
jay idzes kunjung wonosobo dingin,7,Positif
bagus jogging foto latar kagum,8,Positif
bagus tempat,-1,Negatif
alun alun wonosobo milik ruang buka luas cocok aktivitas keluarga kumpul teman teman orang piknik main nikmat udara segar alun alun warung jual makan ringan,22,Positif
layan muas jamaah pengin berangkat,3,Positif
wonosobo tempat sejuk ramah anak bersih hibur minggu ramai pasar unik muda mud pakai angkut singgah betah lamalama saran unjung,7,Positif
acara asuh,3,Positif
alun alun ya ramai macet jajan sekitar alun alun,3,Positif
nyaman jalan jalan santai,6,Positif
mantap gan,5,Positif
alun alun indah,3,Positif
wonosobo sedia fasilitas sih kesini yaps lapang khusus upacara lapang volley lapang basket,13,Positif
bersih nyaman,7,Positif
cocok jalan jalan,4,Positif
ya asri lumayan tertib,9,Positif
lepas lelah,2,Positif
cocok isi luang keluarga,12,Positif
tempat nyaman olahraga jalan jajan enak murah murah alat main rusak awat,23,Positif
hei kucing,0,Netral
landmark kota wonosobo ya sejuk rindang nyaman santa dar jalan lepas penat,5,Positif
taman wonosobo jos udara sejuk segar,1,Positif
luas nyaman asik,11,Positif
ya bersih,3,Positif
masjid sukoyoso masuk kanan tiga belok kanan rumah zamzam blok b,6,Positif
terima kasih,4,Positif
kota wonosobo kota milik indah alam latar gunung sindoro sumbing milik alun alun asri lengkap fasilitas publik dukung,13,Positif
sejuk makan relatif murah jual durian jujur,9,Positif
wajib hukum pas pulang wonosobo jalan keliling sana,4,Positif
alun alun kota tenang sejuk rindang sahabat anak giat olahraga,8,Positif
bersih sejuk luas senang,11,Positif
bagus keluarga santa lapar jajan kaki jalan utama balai kota,-3,Negatif
lumayan rapi main sewa,7,Positif
makan khas wonosobo main anak anak masjid gereja,11,Positif
alun alun rindang pohonpohon teduh,2,Positif
nyaman sejuk,4,Positif
tempat lumayan bersih jual makan main sewa main anak dewasa,11,Positif
lumayan ramai mampir cuman ehehehe,6,Positif
mantan,-3,Negatif
seru nongkrong sore baik upgrading fasilitas,10,Positif
sejarah nyaman asri istimewa keluarga acara sempat,12,Positif
bikin kangen,3,Positif
sejuk banget coba deh main,5,Positif
mantap,5,Positif
bersih jual makan enak,10,Positif
sejuk habis pohon bikin adem,1,Positif
asyik ringan,2,Positif
tempat pas santai keluarga main anak,9,Positif
kota mt sumbing sindoro latar belakang ruang publik bagus,-6,Negatif
tempat asri sayang sepi perintah rawat tingkat promosi tingkat unjung parkir liar pungut liar benah,7,Positif
mantap bersih lestari jaga orang peduli,18,Positif
makan alun alun dekat alun alun masjid agung jam wonosono shalat enak good,19,Positif
minggu pagi alun alun wonosobo,0,Netral
bangga warga wonosobo ikon ya kota wonosobo kumpul warga keluarga kerabat hangout olahraga main bercengkrama,12,Positif
alun alun cantik cantik kota,3,Positif
keren bersih,6,Positif
alam jatuh kunci mtor tusuk ban mobil,3,Positif
tempat asri betah nongkrong,1,Positif
tempat nyaman jogging pagi udara segar sejuk pohonpohon pohon beringin asri burung,1,Positif
sejuk suasana asri alami alam,7,Positif
pusat kota wonosobo ramai odong odong kereta kereta mobil aki trampolin balon anak anak keliling makan,-1,Negatif
keren banget,3,Positif
salah olahraga view sindoro,-4,Negatif
wonosobo indah,3,Positif
ramah anak,5,Positif
wonosobo asri,4,Positif
suasana enak degan pandang gunung,10,Positif
kampung halaman istri nyaman sejuk cocok wisata kuliner pusat pasar masjid,14,Positif
senang saudara wonosobo,5,Positif
alun alun kota kota pusat kuliner refreshing,1,Positif
tulus hati,6,Positif
jalan sehat keluarga,8,Positif
puter pas giat daerah wonosobo,3,Positif
tempat sejuk bersih teduh,2,Positif
suasana sejuk asri,8,Positif
wonosobo langgan beli durian stok jamin enak,1,Positif
ya alun alun,0,Netral
ram,0,Netral
makan sate,1,Positif
tempat keren,0,Netral
bantu,3,Positif
nyaman sejuk area kota cocok singgah arah dieng,6,Positif
ruang publik olahraga santa ria keluarga,5,Positif
jalan wonosobo jalan kaki,0,Netral
orang kunjung,3,Positif
tata rapi,6,Positif
mie ongklok kaki ngadem pohon rindang,-4,Negatif
tempat hibur rakyat senang kuliner view bagus cerah gunung indah pandang mata,6,Positif
bagus olahraga aman nyaman,6,Positif
nyaman wifi ya,4,Positif
adem burung blekok bangan tambah asri kenang hp tinggal masjid selomerto alhamdulillah marbotnya amanah,28,Positif
bagus ajak jalan anak,3,Positif
nyaman nyore bareng keluarga main makan salam team bubur ayam om aan banjarnegara jawa,16,Positif
cocok sendiri malam malam bawa kopi duduk tenang kadang polisi tentara aman adem,10,Positif
wonosobo nyaman senang kunjung kumpul keluarga gathering komunitas,18,Positif
moga fasilitas dukung baharu main anak anak rumput awat biar anak anak latih sana maksimal,24,Positif
padat dagang nyaman kurang,1,Positif
nyaman wisata sih wahana main murah riah,13,Positif
dingin,4,Positif
luas sayang kesana kamis sepi pas libur,9,Positif
kasih bagus dagang kaki lima stand ya biar kuliner tata rapi alun alun wonosobo ikon ya kuliner,10,Positif
mohon wenang cari solusi kait burung burung sarang pohon keliling alun alun kotor ganggu nyaman masyarakatbanyak kotor,-11,Negatif
bagus nyaman kondisi rawan banget macet mobil jalan,2,Positif
sejuk asri kuliner,4,Positif
surprisingly entertaining,0,Netral
tempat bagus nongkrong suasana sejukbanyak stand makan khawatir lapar,0,Netral
baik masyarakat wonosobo kumpul bersenangsenang baik area jadi iklan duduk nongkrong bersih fasilitas tata area dagang kaki ganggu nyaman unjung,15,Positif
bersih awat udara sejuk pohon rindang duduk,0,Netral
bagus,2,Positif
bersih nyaman suasana malam haricukup kuliner,10,Positif
jual makan rumput tinggitinggi musim hhujan,5,Positif
kota asri cuaca sejuk dingin alun alun kota awat bersih nyaman alun alun kota wonosobo masjid,20,Positif
coba mie ongklok sate kambing muda batagor sembari rehat jalan syahdu enak next mampir santai,7,Positif
green,0,Netral
nikmat,3,Positif
kota nyaman adem,5,Positif
tempat nyaman sejuk sore dagang kaki makan enak,7,Positif
nikmat suasana kota kabupaten fasilitas main anak anak masjid agung jamik kolam ikan,14,Positif
jos alun alun ya malam minggu ramai banget,2,Positif
jajan,0,Netral
tugu dieng banjarnegara,0,Netral
enak syahdu banget burung ya resah,3,Positif
sejuk asri banget jajan allure makan enak enak tempat nyaman keren,19,Positif
bersih sejuk nyaman pelihara lingkung nyaman olahraga rekreasi sayang gym outdoor mini playangroundnya rusak tingkat awat sarprasnya,26,Positif
asik senang jajan,9,Positif
sejuk hijau asri,7,Positif
bagus sih,2,Positif
santai sore ber olahraga jugadengan jogging track,2,Positif
kayak penuh sampah kadang rusak bnerin asri,3,Positif
bersih area masjid agung kantong parkir luas,11,Positif
sedia pilih makan jajan cilok siomay batagor aneka minum manis dawet dsb suasana nyaman nikmat pandang malam kota wonosobo area,13,Positif
suka ganggu odgj suka uang paksa,-2,Negatif
lokasi alun alun kota strategis jual jajan makan,1,Positif
minum susu jahe makan mie ongklok malam brrrr,-7,Negatif
nyaman singgah,2,Positif
jual makan,2,Positif
nyaman bersih,7,Positif
pusat kota wonosobo jalan jalan sore enak banget jogging sore panas jajan enak,16,Positif
renovasi rupa tinggal butuh awat rutin mohon perhati perintah daerah masyarakat lestari jaga alam,18,Positif
alun alun jajan hibur anak serta pandang gunung indah,6,Positif
tempat seru,2,Positif
enak santa keluarga kuliner ramah kantong,15,Positif
rumah main olahraga,3,Positif
malam minggu minggu pagi ramai banget suasana,6,Positif
bersih keren,6,Positif
bersih tata rapi,9,Positif
asri enak main anak,12,Positif
bagus cocok anak anak,6,Positif
suasana nyaman asri kuliner enak dekat cari jalan,15,Positif
bersih sejuk segar,7,Positif
indah kuliner enak murah,11,Positif
bagus rapi,5,Positif
layan muas,7,Positif
kotor burung aman jogging eekin burung jorok,-10,Negatif
pas kesana masjid renovasi,10,Positif
alun alun cocok jogging pagi,4,Positif
layan ramah,7,Positif
sejuk asri,4,Positif
aneh tulis gratis parkir bayar parkir cuaca sih enak ya wonosobo dingin alun alun makan enak,26,Positif
alun alun asri jogging nikmat indah alam,12,Positif
sabtu minggu ramai orang aktivitas,3,Positif
alun alun wonosobo suasana sejuk pohon rindang jual kopi keliling angin dingin betah sih tinggal kota,5,Positif
cari es cincau durian sate ayam pinggir alun alun enak murah,1,Positif
bagus eropa,2,Positif
tempat nyaman sejuk ramah anak cocok dar santa main anak,13,Positif
bersih nyaman indah rapi alun alun wonosobo penting udara segar,16,Positif
bagus lampu lampu ya bagus ramai unjung ya bersih,18,Positif
cianjur jawa barat penasaran mie ongklok makan pohon rindang alun alun wonosobo laksana,-6,Negatif
alam indah udara wonosobo sejuk lai,1,Positif
ya motor alun alun wonosobo suasana loh,4,Positif
mampir makan nasi megono ya enak murah kenyang,16,Positif
jajan murah ya,3,Positif
alam sejuk bersih enak jogging,10,Positif
dingin burung bebas liar baju kena kotor burung,-6,Negatif
nyaman kuliner recomended,4,Positif
pas banget main anak makan bareng,10,Positif
lokasi bagus guna unjung kota wonosobo,2,Positif
cakep pagi cerah banget view gunung,5,Positif
ramai weekend bagus jogging,5,Positif
bersih lokasi strategis fasilitas kuliner khas wonosobo,9,Positif
asri bro sumpek kayak,-3,Negatif
jalan bareng keluarga non htm kuliner free parkir,11,Positif
ciri khas wonosobo,4,Positif
mudik wajib kesini dar jalan kaki nyeker putar,-5,Negatif
alun alun baik jawa moga pelihara,7,Positif
keren indah,6,Positif
food court khusus dagang jual,1,Positif
cocok olahraga ringan,6,Positif
update info oktober masjid agung wonosobo lokasi baik parkir,4,Positif
mie ongklok,0,Netral
alun alu luas kebersihanya kadang sampah kotor burung sisi,-3,Negatif
sejuk ramai berisik pengap cocok sendiri kumpul bareng teman keluarga,7,Positif
rama,3,Positif
luas nyaman,7,Positif
asri sesuai semboyan parkir gratis,14,Positif
aman seht rapi indah,6,Positif
ya sejuk duduk bawah pohon makan beli alun alun,-1,Negatif
tempat luas ramah pejal kaki udara sejuk,1,Positif
pohon ya rindang lampu terang,2,Positif
nikmat malam wonosobo teman canda tawa,-1,Negatif
nongkrong pagi sore enak makan mie ongklok,6,Positif
kota dingin,3,Positif
lumayan pagi bakar kalori,2,Positif
asri nyaman nongkrong soremalam,8,Positif
salah bagus datang ramah difabel dagang jual maksa orang aneh resiko ruang publik,-4,Negatif
bagus ramai kuliner,5,Positif
sore sepi orang food vendor goba enak duduk duduk,2,Positif
pilih kuliner,-2,Negatif
ya bersih nyaman sejuk,7,Positif
ramah unjung lumayan jajan fasilitas,8,Positif
nyaman luas ramai weekend bersih minggu car free day,16,Positif
taman ya asri sejuk,5,Positif
tempat adem sayang kotor burung,-3,Negatif
food court alun alun pilih makan play and ground anak anak toilet bersih,2,Positif
wonosobo olahraga pagi alun alun sayang kotor burung ya duh nyamantapi ya pohon pohon situ sarang ribu burung burung,-14,Negatif
empat alun alun kodim,0,Netral
ramai dingin,7,Positif
bagus pandang ya,3,Positif
istirahat bagus kuliner,0,Netral
alun alun saroh,0,Netral
lari pagikarena udara sejuk,-6,Negatif
ya cocok mampir istirahatketika jalan dieng,6,Positif
nyaman nongkrong jajan,4,Positif
pijat tradisional,-5,Negatif
cocok jalan santai jogging jajanjajan lucu dagang keliling lahan parkir sedia,12,Positif
dikangenin tempe kemul ongkloknya,-2,Negatif
adem asri nyaman ngadem,10,Positif
pikir malam minggu tuh ramai banget sepi banyak kios toko tutup jam,1,Positif
aman nyaman asri,8,Positif
nikmat nikmat malam,5,Positif
kota ku hai bupati wonosobo nama rifda,-1,Negatif
nikmat saji kuliner nikmat harga sahabat sip,17,Positif
bagus macet,2,Positif
aktivitas sayang titik isi kotor burung bikin nyaman diatasidicarikan solusi kotor burung ganggu unjung bau enak ganggu,-8,Negatif
wonosobo ruang publik jantung kota wonosobo jawa fungsi pusat perintah kumpul masyarakat agam giat sosial budaya,8,Positif
bagus main keluarga,9,Positif
wajib kunjung kota haha enak tempat lari lari anak anak main jajan nongkrong nongkrong cocok,5,Positif
spot bagus tunggu order grab,3,Positif
rekomendasi jalan olahraga pagi arena luas spot spot foto tarik,8,Positif
enak main malam jajan sewa sepeda listrik mobil listrik rakit,8,Positif
bagus keren,5,Positif
kuliner murah asri kupat enak belah kodim cocok anak anak main,14,Positif
enak nongkrong,5,Positif
cocok olahraga pagi udara sejuk,0,Netral
jogging lumayan deh,1,Positif
buka lepas penat asuh anak olahraga butuh luas,6,Positif
hibur rakyat senang dewasa anak anak nikmat main tambah kuliner khas mie ongklok hangat badan kenyang suka mie ongklok resto,27,Positif
adem cocok renti luas lokasi masjid,9,Positif
bagus wisata anak nongkrong ngopi harga murah dagang ramah ramah,21,Positif
pusat kota wonosobo rindang luas bersih istirahat wisatawanbikers dieng,6,Positif
kota bersih,2,Positif
pusat kota daya tarik wisatawan wilayah wonosobo cinta kuliner malam wajib mampir jajan cicip,9,Positif
healing,0,Netral
habis jalan pintu langit dll mampir beli mie ongklok lumayan enak murah,16,Positif
riah terang parkir ya tata,9,Positif
adem pohon pohon cuaca panas dingin view gunung,2,Positif
tempat luas adem pohon pohon besar enak jogging nongkrong jalan jalan,3,Positif
luas rapi bingung cari kendara pulang,3,Positif
parkir luas,4,Positif
singgah motor jakarta dieng jogja,-2,Negatif
asri,4,Positif
nyaman pungut parkir,5,Positif
alun alun asri pohon kunjung wonosobo mampir,5,Positif
alun alun bagus bersih hawa sejuk ramai,4,Positif
adem banget kulinter ya,2,Positif
rindang enak running pagi siang malam,4,Positif
alun alun kota kota indonesia hubung pas kesini hujan eksplore sekitar pasti asyik rehat,6,Positif
bagus,2,Positif
enak jalan kaki hawa dingin wonosobo spot kuliner,5,Positif
lumayan bagus next time kesini,1,Positif
nyaman banget tempat jajan murah,4,Positif
nyaman dar jalan jalan lepas penat kota olahraga pekan cocok,9,Positif
cekat layan,4,Positif
solusi hati,5,Positif
jajan cilok bareng moga bahagia mas sari,5,Positif
asri indah sejuk,7,Positif
tempat nyaman banget bersih rindang bangun tua bikin betah pokok,3,Positif
bikin betah ngangenin tertib aman nyaman,8,Positif
lumayan sampah tebar tolong banyak sampah dagang kaki lima usaha sampah masingmasing tikar leseh gelar,-4,Negatif
parkir benar gratis,7,Positif
nyaman dar nongkrong kuliner area alun alun wisata kuliner,4,Positif
nyaman rekreasi murah,7,Positif
cocok keluarga kaula muda olahraga jogging recommended kuliner,6,Positif
nyaman kumpul teman guna alun alun wonosobomari jaga bersih,10,Positif
dagang kaki lima tertib,4,Positif
tahi burung ya bau bersih,-6,Negatif
area kumpul komunikasi masyarakat aktivitas perlu,4,Positif
bagus nyaman main santai keluarga,15,Positif
bagus bersih,5,Positif
suasana bersih rindang spot foto,10,Positif
suka suasana pagi jogging,7,Positif
seru sih,5,Positif
senang,5,Positif
nongkrong santa,0,Netral
sejuk tempat mampir deh main wonosobo,2,Positif
rindu udara sejuk kuliner tempat asri,-1,Negatif
suasana alun alun adem asri,10,Positif
ya sejuk enakbuat jalan jalan segar pikir,5,Positif
mampir alun alun wonosobo pas dieng alun alun luas asritapi kotor burung,3,Positif
nyamanjalanan ramai,3,Positif
tempat bagus bersih rapi,5,Positif
suasana nyaman sore nikmat angkring,11,Positif
fasilitas parkir dll,3,Positif
dingin banget,4,Positif
lumayan kotor burung pohon,-8,Negatif
nyaman malam ngopi ramai unjung ya,9,Positif
kumpul warga olahraga santa lokasi pusat kota mana cuaca cerah gunung,2,Positif
tempat bagus asri sejuk orang orang sehat olahraga pagi lari,5,Positif
musim burung hindar wilayah burung nangkring korban wc burung,-4,Negatif
kota wonosobo salah wajib kunjung wonosobo suasana asri penuh pohon tata ruang bagus jadi enak pandang bersih pagi sore dagang,12,Positif
alun alun luas masuk bebas pagar ganggu pandang burung sarang maklum kotor burung,-6,Negatif
bela bela kendalwonosobo nongkrong alun alun wonosobo ya sengangenin suasana bersih sejuk orang ramah wonosobo hati,14,Positif
ramai suasana sejuk nyaman keluarga,15,Positif
bagus lepas lelah jalan jalsn kuliner,4,Positif
bagus jajan,2,Positif
alun alun wonosobo salah kunjung hari libur bersih tertatasangat cocok weekend keluarga,13,Positif
nyaman danbanyak kuliner,4,Positif
bagustapi sayang sampah sera,-1,Negatif
lumayan nongkrong nongkrong,1,Positif
tempat masjid jam,0,Netral
ngopi utara alun alun wonosobo mantap banget,8,Positif
keren indah,6,Positif
bersih nyaman tata,10,Positif
jual makan weekend menyebrang hatihati kendara warga wonosobo hirau seberang jalan,-1,Negatif
tempat asyik amen kadang bikin risih,0,Netral
alun alun wonosobo asri jual jajan sewa motor listrik gambar dll cocok keluarga,15,Positif
alun alun bersih malam pas kesana kabut tukang jual moga jaga bersih,8,Positif
dieng pakai google maps ketemu alun alun wonosobo arah dieng arah jalan utama relatif lebar landai mobil gerak roda fwd hindar jalur alternatif sulit cc mobil lcgc,-1,Negatif
wonosobo tata rapi baik,9,Positif
jalan jalan pagi sabtu ramai,3,Positif
tukang parkir guna helm hilang ganti rugi bayar parkir,3,Positif
salah alun alun luas jalan olaharaga pusat jajan,2,Positif
maling wonosobo helm hilang ambil tukang parkir hilang tanggung,-2,Negatif
bersih nyaman,7,Positif
bagus senang,7,Positif
nyaman asri,8,Positif
kota rindu suasana udara ramah orang orang,6,Positif
luas akurat,3,Positif
dieng prau mending pilih jalur lewatin alun alun wonosobo jalan ya sahabat anti tanjak curam,-2,Negatif
pas banget,3,Positif
keren nyaman,7,Positif
fasilitas ya awat kotor burung,2,Positif
spot nongkrongyang ramai,3,Positif
wonosobo hawa sejuk duduk ramah lontong tetel mie ongkloknya favorit banget,1,Positif
bersih,3,Positif
pas ultah wonosobo coba nasi megono alun alun pas belok ibu sakit lauk pauk pakai tempe kemul plus telur pindang import gudeg seberang jalan,9,Positif
pas acara pilih mas mbak wonosobo makan mie ongklok,2,Positif
bersih asri dagang foto posting ambil acara kirab kab wonosobo,5,Positif
main siang ramai jajan enak murah hihi recomended wonosobo mampir,16,Positif
artikel uwapik,-4,Negatif
kali mampir,2,Positif
kesan,0,Netral
adem dingin,6,Positif
tempat sejuk luas cari makan khas wonosobo pagi lari pagi jalan sehat dukung,8,Positif
jogging favorit,0,Netral
josssh,0,Netral
tempat aman nyaman,1,Positif
tempat asi sejuk udara,-7,Negatif
nyaman bahagia,8,Positif
lumayan nyaman refreshing,5,Positif
kesini lumayan bersih nyaman pilih kuliner,6,Positif
suka,3,Positif
kemarin pas pulang dieng asri sejuk siang,7,Positif
bersih nyaman enak olahraga,12,Positif
tempat indah,0,Netral
main suka anak suasana nyaman asri udara segar gunung,18,Positif
tempat bagus banget asri udara segar pol pokok sayang lihat map hehe,9,Positif
acara balon udara,-4,Negatif
bersih tata,6,Positif
jala ruwet banget dieng putar jalan bagus alun alun,1,Positif
tempat nyaman tukang makan,0,Netral
pusat pulau jawa,3,Positif
malam malam nikmat dingin wonosobo enjoy alunalunnya,8,Positif
salatiga acara alun alun inap memory indah,5,Positif
ramah orang orang,5,Positif
terkadang rindu minggu pagi tempo,6,Positif
tempat luas segar cocok olahraga santa beli makan kadang alunalunnya relokasi,14,Positif
tempat luas kesini pas acara alun alun ramai jual makan main anak,11,Positif
sholat ied,5,Positif
bagus acara ramai,5,Positif
serba,0,Netral
bagus istirahat,0,Netral
lari yoi,-2,Negatif
wonosobo puncak gunung indah pagi sunrise dekat masjid jam wonosobo tenang bersih sedia teh kopi gratis,19,Positif
luas nyaman konser musik alun alun area nyaman nongkrong jajan kaki range harga ribu ribu,16,Positif
jajanjajanan jual hewan pelihara suka hehe,7,Positif
aman sehat rapi indah,10,Positif
alun alun wonosobo nyaman sama keluarga cocok main olahraga jalan kaki samping belah barat alun alun pusat kuliner sedia aneka kuliner wonosobo,17,Positif
nyaman aktivitas olahraga nongkrong keluarga jajan khas wonosobo,12,Positif
kota wonosobo taman bagus bersih,5,Positif
asik nongkrong,4,Positif
ramai lintas padat,3,Positif
wonosobo is the best,0,Netral
alun alun bagus bersih kesini bawa anak lumayan ya mainanya hehe,7,Positif
nikmat olahraga sembuh,7,Positif
ramai gelap ya ok,3,Positif
asri nyaman,8,Positif
adem asri,6,Positif
pijatanyaaa josss,0,Netral
dingin wkwkwkwk,4,Positif
seru banget main,8,Positif
senang beda kota tanggung alun alun sepi aktivitas apa nyaman jalan jalan santai kuliner dar nongkrong,0,Netral
bagus keren,5,Positif
bersih indah asribagus tukang parkir sitertibkan sudut tukang parkir,4,Positif
luk alun alun wonosobo,3,Positif
alun alun gelap,-4,Negatif
tunggu jam check dudukduduk jajan makan enak murah tempat luas main luk dll,17,Positif
bersih dagang tertib macet,7,Positif
luas bersih,6,Positif
toilet,0,Netral
jalur arah eh bentak bicara,-8,Negatif
suasana sejukdan bikin nyaman,8,Positif
istirahat malam minggu alun alun makan mie ongklok sate mantap jam malam langsung otw gua batu jajar kebumen,7,Positif
sejarah wali allah hebat,5,Positif
bagus anak anak,2,Positif
bersih rapi indah,9,Positif
puas,3,Positif
wonosobo wisata recommended,0,Netral
asri nyaman indah,11,Positif
